carat	cut	color	clarity	depth	table	price	x	y	z
0.7	Ideal	H	VVS2	62.2	55.0	3235	5.71	5.76	3.57
0.31	Premium	E	SI1	63.0	59.0	698	4.31	4.26	2.7
0.32	Premium	G	VS1	61.4	58.0	645	4.36	4.4	2.69
0.91	Ideal	G	SI2	62.2	57.0	3425	6.18	6.24	3.86
0.54	Ideal	G	VS1	61.9	54.0	1847	5.25	5.28	3.26
0.36	Very Good	E	SI2	62.4	58.0	471	4.54	4.56	2.84
0.57	Very Good	F	SI2	60.1	56.0	1235	5.4	5.42	3.25
0.43	Very Good	G	SI1	60.4	58.0	754	4.87	4.9	2.95
0.64	Ideal	F	VS2	61.1	56.0	2419	5.57	5.59	3.41
0.77	Very Good	J	SI1	63.3	57.0	2010	5.84	5.79	3.68
1.61	Premium	J	IF	62.1	58.0	10350	7.53	7.47	4.66
1.21	Ideal	J	VS2	62.6	54.2	5275	6.79	6.81	4.26
0.34	Good	H	SI1	63.3	56.0	490	4.45	4.46	2.82
0.45	Good	F	VS1	58.6	62.2	1144	5.0	5.05	2.95
0.47	Ideal	D	VS1	61.0	55.0	1617	5.03	5.01	3.06
0.32	Ideal	D	VS2	62.3	57.0	972	4.41	4.39	2.74
0.74	Ideal	G	VS1	61.8	55.0	2960	5.85	5.8	3.6
0.7	Ideal	F	SI1	61.2	56.0	2161	5.72	5.78	3.52
0.37	Premium	F	VS2	60.5	59.0	696	4.62	4.67	2.81
1.01	Very Good	E	SI2	59.6	61.0	4355	6.56	6.59	3.92
0.31	Ideal	I	VS2	59.9	57.0	435	4.38	4.4	2.63
0.52	Ideal	E	VS2	61.7	55.0	1689	5.16	5.21	3.2
0.24	Very Good	E	VVS2	62.5	58.0	485	3.96	4.01	2.49
0.37	Ideal	G	IF	62.1	55.0	1056	4.6	4.64	2.87
0.5	Very Good	H	VVS1	63.5	58.0	1838	5.03	4.98	3.18
0.7	Fair	F	VS1	67.8	60.0	2381	5.5	5.39	3.69
0.72	Ideal	F	SI2	62.1	57.0	2241	5.72	5.75	3.56
2.56	Ideal	J	SI1	61.4	58.0	17753	8.73	8.76	5.37
1.63	Very Good	H	SI2	58.2	62.0	9504	7.77	7.72	4.51
0.57	Ideal	D	SI1	61.4	55.0	1810	5.35	5.34	3.28
0.35	Ideal	G	VS1	61.9	55.0	706	4.51	4.53	2.8
0.72	Very Good	E	SI1	60.0	57.0	2479	5.8	5.84	3.49
1.5	Good	E	SI2	63.9	58.0	8910	7.21	7.26	4.62
0.32	Premium	G	SI1	62.6	58.0	612	4.37	4.35	2.73
0.56	Very Good	E	SI1	60.2	57.0	1440	5.36	5.4	3.24
0.41	Ideal	E	VVS1	61.9	55.0	1431	4.79	4.78	2.96
1.03	Premium	E	SI2	61.8	56.0	4730	6.5	6.47	4.01
0.91	Premium	G	SI1	61.8	60.0	3975	6.21	6.18	3.83
2.09	Premium	J	SI2	60.0	60.0	13092	8.32	8.37	5.01
0.4	Premium	H	VS1	62.7	59.0	731	4.63	4.71	2.93
0.38	Ideal	E	VS1	62.2	55.0	1112	4.67	4.63	2.89
0.41	Ideal	G	IF	61.7	56.0	1259	4.79	4.81	2.96
0.46	Ideal	F	SI1	61.6	54.0	983	4.97	5.0	3.07
1.01	Good	H	SI1	60.3	64.0	4559	6.5	6.53	3.93
0.33	Very Good	G	VS2	62.6	58.0	579	4.36	4.4	2.74
0.72	Premium	D	SI2	60.3	58.0	2484	5.81	5.76	3.49
1.0	Premium	E	VS2	59.9	59.0	6272	6.45	6.38	3.84
0.31	Ideal	H	VVS1	60.9	56.0	671	4.4	4.42	2.69
0.31	Ideal	H	VVS2	61.4	56.0	609	4.38	4.41	2.7
1.11	Ideal	H	SI2	62.0	54.0	4662	6.64	6.61	4.11
0.45	Ideal	D	SI2	62.0	55.0	706	4.92	4.95	3.06
1.01	Very Good	F	SI2	59.1	57.0	4304	6.57	6.62	3.9
0.7	Very Good	F	VVS1	63.3	56.0	3252	5.7	5.64	3.59
0.35	Fair	E	VVS2	66.2	61.0	738	4.4	4.36	2.9
0.31	Ideal	F	VS2	61.5	56.0	625	4.34	4.37	2.68
0.41	Premium	D	SI1	59.6	59.0	791	4.82	4.85	2.88
1.02	Ideal	F	VS1	62.2	57.0	7836	6.39	6.43	3.99
1.71	Very Good	H	VS1	62.0	56.0	13904	7.64	7.68	4.75
0.71	Ideal	E	SI2	61.9	56.0	2458	5.73	5.76	3.56
2.18	Premium	J	SI1	62.9	59.0	13938	8.25	8.21	5.18
0.53	Ideal	F	VS1	62.3	55.0	1908	5.22	5.18	3.24
1.23	Premium	F	VVS2	61.6	59.0	11534	6.9	6.8	4.22
0.59	Ideal	I	VVS1	62.2	55.0	1838	5.38	5.39	3.35
1.09	Very Good	H	SI2	60.9	57.0	4349	6.64	6.69	4.06
1.07	Ideal	E	SI2	62.2	55.0	5325	6.54	6.58	4.08
1.6	Ideal	H	VS1	61.4	57.0	12681	7.59	7.53	4.64
0.55	Ideal	J	VS2	60.4	58.0	1133	5.29	5.34	3.21
0.27	Very Good	F	VS1	62.4	55.0	429	4.12	4.15	2.58
0.5	Ideal	D	VS1	61.1	56.0	1922	5.12	5.23	3.16
0.7	Very Good	I	VS2	60.1	57.0	2316	5.79	5.82	3.49
1.22	Premium	H	VS2	61.4	62.0	5944	6.92	6.76	4.22
1.03	Good	I	I1	57.9	59.0	2540	6.67	6.62	3.85
1.0	Fair	D	SI2	65.6	66.0	3767	6.1	6.01	3.97
0.8	Very Good	J	VS1	63.4	56.0	2321	5.9	5.87	3.73
0.41	Ideal	G	IF	62.0	55.0	1425	4.8	4.81	2.98
0.56	Premium	E	VS2	61.8	56.0	1915	5.31	5.28	3.27
0.35	Ideal	E	VS2	62.1	56.0	767	4.52	4.53	2.81
0.42	Premium	D	SI1	60.2	57.0	970	4.89	4.85	2.93
0.7	Good	D	SI2	63.7	58.0	2388	5.64	5.6	3.58
1.16	Ideal	G	VVS2	62.0	56.0	8803	6.75	6.71	4.17
0.76	Very Good	H	VS2	58.7	61.0	2599	5.96	5.99	3.51
0.42	Very Good	E	VS2	62.8	59.0	958	4.76	4.8	3.0
0.37	Premium	F	SI1	62.4	59.0	791	4.6	4.56	2.86
0.32	Ideal	G	VVS1	60.2	56.0	842	4.45	4.49	2.69
0.75	Very Good	F	SI2	58.6	60.0	2111	5.99	6.03	3.52
1.01	Very Good	G	VVS1	63.1	59.0	7412	6.42	6.33	4.02
1.04	Ideal	E	VVS2	62.9	55.0	10019	6.47	6.51	4.08
1.11	Very Good	H	SI1	60.8	60.0	5192	6.62	6.77	4.07
0.75	Good	G	VVS1	58.4	56.0	3188	5.98	6.06	3.52
0.56	Ideal	G	VS1	62.2	55.0	1819	5.27	5.31	3.29
0.58	Ideal	D	VVS1	62.1	55.0	3732	5.33	5.37	3.32
0.57	Ideal	I	VS1	61.6	56.0	1355	5.33	5.35	3.29
1.04	Ideal	H	SI2	61.8	55.0	4368	6.54	6.5	4.03
2.01	Good	H	SI2	63.1	55.0	13849	7.99	8.09	5.07
1.1	Very Good	D	SI2	61.1	58.0	5320	6.61	6.69	4.06
0.35	Very Good	G	IF	62.1	54.0	892	4.53	4.57	2.82
0.4	Very Good	F	VS1	60.9	61.0	851	4.75	4.78	2.9
0.71	Ideal	I	VS2	62.1	59.0	2315	5.73	5.7	3.55
0.52	Ideal	G	VS1	62.7	57.0	1689	5.12	5.15	3.22
0.71	Very Good	F	SI1	61.9	57.0	2404	5.72	5.79	3.56
1.15	Very Good	G	VS2	62.9	58.0	6831	6.62	6.7	4.19
0.73	Premium	I	VS1	60.3	58.0	2393	5.87	5.83	3.53
1.56	Premium	F	SI1	60.7	59.0	11901	7.55	7.45	4.55
1.61	Good	E	SI2	60.9	62.0	10793	7.46	7.57	4.58
1.01	Ideal	I	SI1	60.2	59.0	4612	6.49	6.54	3.92
0.52	Ideal	D	VVS2	62.0	56.0	2426	5.14	5.18	3.2
0.53	Ideal	F	SI1	61.9	55.0	1360	5.19	5.21	3.22
0.52	Ideal	D	VS2	61.8	56.0	1919	5.17	5.15	3.19
0.42	Very Good	G	SI1	62.9	54.0	737	4.79	4.81	3.02
0.91	Very Good	E	SI1	62.1	60.0	4284	6.21	6.25	3.87
2.07	Premium	J	VS2	61.5	59.0	13800	8.2	8.16	5.03
0.3	Very Good	G	VVS2	60.6	58.0	684	4.35	4.36	2.64
0.71	Premium	H	VS1	62.9	57.0	2572	5.72	5.67	3.58
0.71	Good	I	SI1	59.9	65.0	2165	5.71	5.74	3.43
1.3	Very Good	J	VS1	63.2	57.0	4994	6.91	6.86	4.35
1.28	Ideal	H	I1	61.9	56.0	3355	6.95	6.91	4.29
0.36	Very Good	H	VS1	61.6	59.0	631	4.52	4.57	2.8
1.34	Premium	I	VS2	61.8	59.0	6754	7.07	7.04	4.36
0.32	Good	H	VS2	63.1	55.0	505	4.33	4.36	2.74
1.06	Ideal	I	VS2	61.4	57.0	4405	6.57	6.52	4.02
2.51	Premium	H	SI2	59.3	61.0	14543	8.81	8.77	5.21
0.32	Ideal	G	VS1	62.1	55.0	645	4.4	4.42	2.74
0.56	Premium	H	VS2	62.2	60.0	1432	5.28	5.23	3.27
1.22	Premium	G	SI1	61.2	60.0	6449	6.82	6.75	4.15
0.51	Good	E	VS2	61.1	65.0	1424	5.14	5.11	3.13
1.0	Premium	G	VS2	60.0	59.0	5967	6.52	6.47	3.9
0.9	Ideal	H	SI1	62.8	57.0	3629	6.16	6.14	3.86
0.4	Very Good	F	VS2	62.9	57.0	842	4.69	4.72	2.96
0.34	Premium	H	SI1	60.2	58.0	477	4.48	4.52	2.71
0.9	Premium	F	SI2	61.9	62.0	3210	6.12	6.07	3.77
0.24	Very Good	D	VVS2	62.4	58.0	552	3.94	4.01	2.48
1.51	Ideal	G	VS2	62.1	54.0	12551	7.34	7.31	4.55
1.21	Premium	I	SI1	62.8	57.0	5218	6.74	6.67	4.21
1.53	Ideal	G	VS2	62.8	57.0	12907	7.48	7.43	4.63
1.5	Ideal	I	SI1	62.1	55.0	8685	7.32	7.36	4.56
0.7	Ideal	D	VS2	62.3	55.0	3092	5.67	5.7	3.54
1.11	Ideal	I	SI1	62.4	55.0	4273	6.6	6.64	4.13
0.3	Ideal	H	VVS2	60.4	56.0	776	4.36	4.32	2.62
1.02	Good	E	SI2	64.3	58.0	4478	6.36	6.26	4.06
2.01	Good	G	SI1	60.8	61.0	18077	7.99	8.09	4.89
0.32	Very Good	J	VVS1	60.2	60.0	544	4.42	4.49	2.68
0.34	Ideal	H	VVS1	62.9	57.0	995	4.47	4.44	2.8
1.06	Fair	I	I1	64.5	57.0	2239	6.47	6.33	4.13
0.4	Very Good	E	SI1	61.4	58.0	687	4.77	4.81	2.94
0.59	Premium	H	SI1	62.2	59.0	1106	5.38	5.32	3.33
1.2	Good	J	VS2	63.7	58.0	4466	6.61	6.68	4.23
0.32	Ideal	D	VS1	61.2	55.0	977	4.41	4.45	2.71
0.45	Premium	F	VS2	61.4	60.0	945	4.93	4.87	3.01
0.51	Very Good	E	VS2	63.5	56.0	1662	5.08	5.06	3.22
1.34	Very Good	G	VS2	60.7	59.0	9127	7.04	7.07	4.28
0.51	Premium	D	VS2	60.1	59.0	1977	5.19	5.16	3.11
1.01	Premium	G	VS2	60.9	55.0	5288	6.5	6.48	3.95
1.18	Ideal	E	IF	61.1	56.0	14847	6.78	6.91	4.18
0.41	Premium	F	VVS2	61.6	59.0	1017	4.79	4.73	2.93
1.5	Ideal	G	SI1	61.7	56.0	10219	7.36	7.32	4.53
0.91	Ideal	G	SI1	61.9	56.0	4731	6.22	6.18	3.84
2.01	Premium	H	SI1	62.3	58.0	17235	8.04	7.99	4.99
0.33	Premium	G	VVS1	62.8	59.0	1114	4.44	4.38	2.77
0.41	Ideal	D	SI2	62.7	55.0	683	4.72	4.75	2.97
0.31	Ideal	G	VVS1	62.2	55.0	789	4.33	4.38	2.71
0.7	Very Good	D	SI2	61.4	58.0	2337	5.7	5.74	3.51
0.71	Very Good	D	SI1	60.1	60.0	2921	5.76	5.79	3.47
1.54	Premium	I	SI2	61.5	61.0	6278	7.41	7.31	4.53
1.5	Fair	G	VS2	64.4	56.0	12787	7.16	7.09	4.59
0.5	Ideal	D	SI2	61.6	57.0	1239	5.1	5.13	3.15
0.38	Ideal	G	VVS2	61.3	56.4	929	4.67	4.71	2.88
0.79	Good	F	SI1	58.1	59.0	2756	6.06	6.13	3.54
0.31	Ideal	F	VVS1	61.9	55.0	801	4.37	4.42	2.72
0.72	Premium	E	VS2	60.4	61.0	3024	5.79	5.76	3.49
0.78	Very Good	I	SI1	63.1	56.0	2228	5.88	5.82	3.69
1.2	Ideal	G	VS2	61.9	56.0	7548	6.86	6.81	4.23
0.72	Ideal	G	SI2	62.3	54.0	2295	5.76	5.79	3.6
0.36	Premium	H	VS2	60.9	59.0	729	4.62	4.58	2.8
1.2	Very Good	F	SI1	62.7	58.0	6973	6.74	6.72	4.22
0.53	Ideal	I	SI1	62.8	57.0	1052	5.15	5.2	3.25
0.9	Premium	G	VS2	61.7	59.0	4269	6.14	6.22	3.81
0.73	Premium	G	SI1	62.0	58.0	2163	5.75	5.8	3.58
1.0	Good	E	VS2	60.7	62.0	6279	6.33	6.46	3.88
0.7	Very Good	H	VVS1	63.5	58.0	2682	5.63	5.59	3.56
1.53	Very Good	G	SI2	61.1	58.0	8095	7.38	7.41	4.52
1.01	Ideal	E	VS2	59.3	57.0	7240	6.57	6.51	3.88
0.3	Very Good	H	VS1	62.3	56.0	541	4.29	4.32	2.68
0.9	Very Good	H	VS2	63.6	58.0	4258	6.1	6.14	3.89
1.01	Good	D	SI1	58.3	59.0	5747	6.59	6.61	3.85
1.03	Very Good	G	SI1	61.0	58.0	4746	6.5	6.54	3.98
1.5	Premium	D	SI1	61.0	61.0	11863	7.32	7.28	4.45
0.7	Ideal	F	SI1	62.7	57.0	2515	5.66	5.7	3.56
1.12	Premium	J	SI2	60.6	59.0	2898	6.68	6.61	4.03
0.84	Good	G	VS2	63.6	59.0	3370	5.89	5.94	3.76
0.23	Ideal	G	SI1	62.0	54.0	364	3.95	3.99	2.46
0.37	Very Good	E	VVS1	60.9	56.0	1055	4.65	4.67	2.84
0.51	Fair	F	VVS2	65.4	60.0	3920	4.98	4.9	3.23
1.51	Very Good	E	SI2	61.9	57.0	7848	7.35	7.41	4.57
0.9	Ideal	H	VS1	62.2	58.0	4428	6.14	6.17	3.83
0.41	Ideal	D	VS2	62.4	54.0	1007	4.74	4.78	2.97
2.25	Very Good	H	SI2	61.2	63.0	14775	8.49	8.38	5.16
1.14	Very Good	F	VVS1	62.2	55.9	11737	6.67	6.69	4.16
0.32	Very Good	D	VS2	61.8	57.0	758	4.35	4.36	2.69
0.54	Ideal	H	VS2	61.6	55.0	1453	5.23	5.25	3.23
1.05	Ideal	D	SI1	61.7	56.0	5914	6.53	6.59	4.05
1.0	Very Good	D	SI1	62.2	58.0	5621	6.34	6.45	3.98
1.07	Very Good	G	VS2	63.0	55.0	6355	6.5	6.55	4.11
1.36	Ideal	H	VS2	59.9	57.0	9279	7.2	7.22	4.32
0.42	Ideal	G	VS2	62.2	54.1	907	4.8	4.83	3.0
0.31	Ideal	F	IF	61.1	57.0	914	4.37	4.4	2.68
0.92	Premium	F	SI2	62.1	59.0	3787	6.26	6.21	3.87
0.5	Premium	E	SI2	60.3	60.0	1286	5.11	5.07	3.07
0.33	Ideal	E	VS2	61.8	55.0	723	4.45	4.48	2.76
1.51	Ideal	D	SI1	60.7	59.0	12648	7.47	7.42	4.52
0.3	Premium	I	SI1	61.9	61.0	506	4.29	4.27	2.65
1.01	Ideal	J	VS2	61.3	56.0	4617	6.46	6.5	3.97
0.52	Very Good	H	VS2	63.5	58.0	1389	5.08	5.09	3.23
0.76	Ideal	F	IF	59.6	58.0	4596	5.95	5.96	3.55
0.34	Premium	F	VS2	61.2	59.0	686	4.47	4.52	2.75
1.2	Premium	H	SI1	62.9	55.0	5975	6.77	6.74	4.25
1.0	Very Good	H	SI2	63.1	58.0	3975	6.29	6.36	3.99
1.0	Premium	J	SI2	62.3	58.0	2801	6.45	6.34	3.98
0.31	Ideal	E	VVS1	61.3	56.0	1064	4.39	4.43	2.7
0.32	Ideal	H	VS2	61.3	55.0	648	4.44	4.4	2.71
0.7	Very Good	F	VS2	60.5	58.0	2437	5.78	5.83	3.51
0.31	Premium	H	VVS1	62.1	58.0	707	4.33	4.36	2.7
0.31	Ideal	E	VS1	61.4	57.0	942	4.37	4.32	2.67
1.04	Ideal	E	SI2	62.0	55.0	4892	6.51	6.48	4.03
0.41	Ideal	E	VVS1	61.3	55.0	1367	4.76	4.8	2.93
1.01	Premium	D	SI1	62.8	58.0	4751	6.37	6.3	3.98
0.42	Very Good	F	VS2	61.7	59.0	884	4.75	4.82	2.95
0.71	Ideal	I	VVS1	61.2	57.0	2450	5.79	5.76	3.53
0.91	Premium	G	VS1	62.5	61.0	4570	6.17	6.05	3.82
0.32	Premium	G	VS1	60.6	60.0	645	4.4	4.44	2.68
0.59	Ideal	G	VVS2	62.6	57.0	2125	5.33	5.37	3.35
0.77	Ideal	D	SI2	61.5	55.0	2885	5.9	5.93	3.64
1.59	Premium	F	VS2	60.2	60.0	15461	7.59	7.62	4.58
0.32	Ideal	D	VS2	61.9	55.0	972	4.44	4.41	2.74
0.7	Very Good	E	SI1	59.6	63.0	2396	5.72	5.65	3.39
0.3	Ideal	E	VS1	61.3	57.0	736	4.3	4.34	2.65
1.01	Premium	H	SI2	59.4	59.0	3999	6.53	6.56	3.89
1.07	Premium	H	SI2	60.0	59.0	3775	6.6	6.56	3.95
0.31	Very Good	G	VVS2	62.6	57.0	707	4.29	4.33	2.7
2.08	Premium	I	SI2	62.3	58.0	14947	8.18	8.13	5.08
0.4	Ideal	G	VVS2	61.5	57.0	1172	4.74	4.76	2.92
0.6	Very Good	E	SI1	63.2	56.0	1836	5.38	5.32	3.38
0.52	Premium	E	VS2	62.3	57.0	1815	5.17	5.1	3.2
1.42	Ideal	H	SI2	62.2	56.0	7475	7.21	7.16	4.47
0.35	Ideal	H	VVS1	61.7	56.0	798	4.53	4.55	2.8
1.02	Premium	I	SI2	61.2	59.0	3856	6.51	6.46	3.97
0.5	Ideal	D	VS2	61.9	57.0	1845	5.09	5.06	3.14
0.34	Ideal	F	VVS1	61.1	57.0	858	4.55	4.58	2.79
0.26	Very Good	D	VS1	63.3	57.0	420	4.03	4.06	2.56
1.01	Ideal	G	VS1	62.4	56.0	6672	6.39	6.44	4.0
0.74	Ideal	F	VS1	61.9	54.0	3590	5.78	5.82	3.59
0.4	Ideal	G	VVS1	61.6	57.0	1200	4.76	4.75	2.93
0.9	Ideal	J	VS1	62.1	57.0	3418	6.16	6.18	3.83
0.33	Ideal	F	VS2	60.5	55.0	854	4.55	4.47	2.73
1.13	Premium	H	SI2	62.7	55.0	4746	6.69	6.61	4.17
0.7	Good	F	SI1	63.1	64.0	2167	5.61	5.58	3.53
0.42	Premium	D	SI1	63.0	59.0	942	4.79	4.77	3.01
0.41	Very Good	H	SI1	63.3	56.0	876	4.74	4.71	2.99
1.03	Good	H	SI1	63.3	57.0	4843	6.39	6.41	4.05
0.96	Very Good	H	SI1	63.1	58.0	4064	6.2	6.25	3.93
1.5	Premium	E	VS2	59.5	58.0	14386	7.53	7.46	4.46
0.51	Good	G	VVS2	63.4	57.0	1800	5.06	5.09	3.22
0.3	Very Good	E	SI2	61.7	61.0	421	4.29	4.33	2.66
0.36	Ideal	D	VS1	62.8	55.0	1018	4.55	4.52	2.85
0.31	Ideal	F	VS1	61.6	56.0	695	4.33	4.36	2.68
1.04	Very Good	G	VS2	61.3	58.0	5964	6.45	6.53	3.98
1.06	Very Good	E	IF	62.7	58.0	11518	6.48	6.54	4.08
0.57	Premium	J	SI2	62.7	60.0	941	5.25	5.21	3.28
1.75	Premium	H	VS2	61.5	58.0	9526	7.75	7.69	4.75
0.42	Premium	E	VS2	61.9	59.0	1024	4.81	4.75	2.96
0.35	Ideal	J	VS1	62.6	53.7	483	4.51	4.54	2.83
0.34	Good	H	VS2	63.7	57.0	537	4.42	4.44	2.82
1.0	Fair	H	SI2	64.4	57.0	3192	6.35	6.29	4.07
1.52	Very Good	G	VS2	63.4	58.0	11986	7.31	7.24	4.61
0.52	Ideal	G	VVS2	61.6	57.0	1897	5.16	5.2	3.19
1.0	Good	D	VS1	64.0	58.0	6250	6.27	6.21	3.99
0.92	Premium	F	SI1	62.1	60.0	4420	6.22	6.21	3.86
0.51	Ideal	G	VVS2	61.2	56.0	2303	5.16	5.17	3.16
0.71	Very Good	E	VS2	62.4	57.0	2759	5.68	5.73	3.56
0.7	Ideal	G	VS2	61.9	56.0	3253	5.68	5.7	3.52
1.02	Very Good	G	SI1	60.8	60.0	4766	6.5	6.55	3.97
1.02	Premium	H	SI1	58.3	59.0	4819	6.68	6.59	3.87
1.2	Very Good	D	SI1	62.4	58.0	7646	6.75	6.78	4.23
1.5	Premium	D	VS2	61.8	60.0	15102	7.3	7.37	4.53
0.54	Premium	D	VS2	60.9	58.0	1993	5.31	5.27	3.22
0.31	Good	E	VVS1	60.9	61.0	725	4.32	4.35	2.64
1.0	Premium	F	SI1	62.7	59.0	5197	6.36	6.4	4.0
0.7	Fair	F	SI2	58.2	66.0	1920	5.77	5.74	3.35
0.51	Ideal	F	VS1	62.1	56.0	1836	5.15	5.13	3.19
0.23	Good	F	VS1	58.2	59.0	402	4.06	4.08	2.37
1.14	Ideal	G	IF	59.0	59.0	12458	6.81	6.91	4.05
1.25	Premium	H	VS2	60.4	59.0	7378	6.96	6.92	4.19
0.33	Premium	G	VS1	59.2	59.0	854	4.54	4.51	2.68
0.3	Good	H	VS1	63.2	56.0	526	4.25	4.29	2.7
0.61	Ideal	E	VVS2	62.0	54.0	3011	5.43	5.47	3.38
1.36	Ideal	D	VS2	62.1	55.0	11793	7.18	7.13	4.44
2.05	Premium	G	SI2	60.1	59.0	16357	8.2	8.3	4.96
0.34	Ideal	G	VVS1	60.5	55.0	844	4.53	4.56	2.75
0.71	Ideal	G	VS2	61.9	57.0	2771	5.73	5.77	3.56
0.32	Ideal	H	VVS2	62.0	55.0	828	4.42	4.39	2.73
0.55	Very Good	E	SI1	64.2	55.0	1417	5.18	5.2	3.33
0.84	Fair	I	VS2	65.1	57.0	2359	5.91	5.85	3.83
0.4	Good	D	VVS2	60.2	63.0	1135	4.74	4.8	2.87
0.42	Ideal	G	SI1	62.2	53.0	777	4.85	4.86	3.02
1.07	Very Good	G	VS1	60.9	55.0	6998	6.6	6.64	4.03
0.8	Premium	H	SI1	62.0	59.0	2699	5.91	5.96	3.68
0.31	Very Good	G	VVS2	62.3	59.0	617	4.29	4.32	2.68
0.31	Very Good	I	VVS2	61.6	59.0	544	4.31	4.33	2.66
1.01	Good	H	SI1	60.1	61.0	5544	6.5	6.47	3.9
0.33	Ideal	F	VS2	62.1	55.0	854	4.47	4.45	2.77
0.31	Good	I	VS1	63.8	56.0	489	4.27	4.32	2.74
1.01	Ideal	E	VVS1	61.8	54.0	10789	6.43	6.49	3.99
1.32	Very Good	F	IF	62.4	58.0	14842	6.97	7.01	4.36
0.37	Ideal	E	VS2	62.6	56.0	811	4.56	4.61	2.87
1.0	Good	H	SI1	56.8	65.0	4138	6.61	6.49	3.72
1.17	Fair	I	I1	64.5	59.0	2336	6.67	6.47	4.25
0.91	Premium	G	SI2	60.4	61.0	3376	6.28	6.21	3.77
0.7	Very Good	E	SI2	60.4	59.0	2453	5.7	5.75	3.46
0.33	Ideal	D	VS2	62.3	57.0	1002	4.45	4.41	2.76
0.3	Ideal	H	VS1	61.9	58.0	545	4.3	4.32	2.67
0.75	Premium	J	SI2	62.9	56.0	1588	5.76	5.72	3.61
0.33	Ideal	H	IF	61.6	55.0	838	4.48	4.51	2.77
1.0	Very Good	G	SI1	63.3	60.0	4626	6.33	6.24	3.98
2.09	Premium	J	SI1	62.2	59.0	13864	8.23	8.16	5.1
0.26	Very Good	H	VVS2	62.4	58.0	468	4.04	4.07	2.53
2.01	Premium	G	SI1	61.8	59.0	15105	8.15	8.09	5.02
0.4	Ideal	H	SI1	61.8	57.0	896	4.75	4.77	2.94
1.0	Very Good	D	SI1	63.2	59.0	5320	6.29	6.4	4.01
0.38	Ideal	E	VVS1	62.4	56.0	1267	4.64	4.67	2.9
0.34	Good	I	SI1	63.7	54.0	447	4.43	4.48	2.84
0.37	Premium	G	VS1	61.4	58.0	746	4.58	4.61	2.82
1.23	Ideal	H	SI1	63.0	56.0	5889	6.83	6.79	4.29
0.7	Premium	H	VVS2	61.0	62.0	2644	5.72	5.66	3.47
1.01	Premium	H	SI2	60.3	60.0	4638	6.49	6.47	3.91
0.9	Very Good	F	VS2	62.7	58.0	5160	6.12	6.19	3.86
1.29	Ideal	F	SI2	61.7	54.0	6509	7.08	6.99	4.34
1.01	Premium	E	SI1	62.9	60.0	5599	6.43	6.35	4.02
0.71	Premium	E	VS2	59.0	59.0	2711	5.78	5.88	3.44
1.1	Very Good	H	VS2	63.1	57.0	5729	6.6	6.52	4.14
0.79	Premium	G	SI2	60.8	58.0	1877	6.0	5.98	3.61
0.6	Premium	D	SI2	62.3	59.0	1449	5.41	5.31	3.34
0.75	Very Good	I	VVS2	62.0	59.0	2749	5.81	5.83	3.61
0.26	Very Good	F	VS2	62.4	58.0	453	4.06	4.08	2.54
1.2	Very Good	J	SI1	60.5	59.0	4455	6.79	6.84	4.12
0.4	Very Good	I	SI1	63.2	55.0	765	4.72	4.68	2.97
2.11	Premium	D	SI2	58.7	60.0	15198	8.45	8.41	4.95
0.34	Premium	G	VS2	61.1	60.0	765	4.53	4.51	2.76
0.42	Ideal	H	VVS2	62.9	56.0	984	4.79	4.75	3.0
1.0	Very Good	I	VS1	63.3	55.0	4516	6.39	6.34	4.03
0.56	Very Good	G	SI2	62.8	58.0	1091	5.19	5.23	3.27
0.3	Ideal	F	IF	62.3	57.0	886	4.25	4.29	2.66
1.02	Ideal	J	VVS2	62.7	57.0	3451	6.45	6.37	4.02
0.41	Premium	E	VS1	60.0	58.0	1153	4.83	4.8	2.89
0.3	Ideal	H	IF	60.8	56.0	789	4.35	4.37	2.65
1.22	Very Good	G	SI1	62.4	57.0	6704	6.75	6.8	4.23
0.38	Premium	E	VS1	60.7	59.0	1069	4.73	4.69	2.86
1.1	Very Good	I	VS1	60.2	59.0	5082	6.67	6.71	4.03
0.5	Very Good	E	VS2	63.4	58.0	1629	5.06	5.04	3.2
0.9	Premium	I	VS2	62.6	62.0	3292	6.13	6.04	3.81
1.35	Premium	I	SI2	62.3	59.0	5919	7.09	7.03	4.4
1.23	Ideal	I	VVS1	62.1	57.0	6989	6.83	6.9	4.26
0.32	Ideal	G	VVS2	62.0	54.0	708	4.39	4.42	2.73
0.51	Ideal	J	SI1	62.5	58.0	1023	5.11	5.13	3.2
0.33	Premium	I	VVS2	61.0	58.0	579	4.42	4.46	2.71
0.93	Ideal	H	VS1	61.8	57.0	5171	6.23	6.27	3.86
1.24	Very Good	F	VS2	59.6	59.0	8929	7.0	7.07	4.19
0.9	Good	E	IF	63.6	56.0	6804	6.11	6.02	3.86
0.32	Ideal	G	VS1	62.0	56.0	645	4.35	4.39	2.71
0.3	Very Good	I	SI2	63.3	56.0	450	4.3	4.26	2.71
0.54	Ideal	F	SI1	61.8	56.0	1669	5.22	5.23	3.23
1.0	Premium	F	VS2	62.4	60.0	6352	6.35	6.38	3.97
0.8	Ideal	I	VS2	61.6	58.0	2606	5.99	6.03	3.7
0.71	Good	I	VVS1	63.4	57.0	2549	5.67	5.71	3.61
0.33	Very Good	G	VS1	61.0	57.0	652	4.46	4.49	2.72
